#M_vir  M_star  M_HI   M_H2   SFR
2.06e+10 1.14e+07 3.38e+07 1.84e+06 1.63e-03
2.38e+10 1.79e+07 2.74e+07 3.12e+06 2.39e-03
7.17e+09 2.16e+07 2.90e+07 1.55e+06 9.60e-04
2.11e+10 2.64e+07 2.26e+07 5.06e+06 3.27e-03
1.59e+10 1.95e+07 3.33e+07 3.97e+06 2.85e-03
1.38e+10 1.70e+07 2.86e+07 2.82e+06 3.15e-03
1.73e+10 3.35e+07 1.09e+07 3.45e+06 1.13e-03
1.44e+10 1.59e+07 2.65e+07 4.14e+06 3.72e-03
1.27e+10 2.37e+07 2.72e+07 1.25e+06 8.26e-04
1.67e+10 2.55e+07 3.55e+07 5.96e+06 2.71e-03
1.61e+10 4.88e+07 4.59e+06 1.47e+05 3.28e-05
1.21e+10 8.49e+06 2.80e+07 3.21e+06 1.91e-03
1.40e+10 1.27e+07 2.72e+07 4.19e+06 3.58e-03
2.47e+10 2.49e+07 2.69e+07 1.00e+06 5.76e-04
1.55e+10 2.66e+07 2.44e+07 1.09e+05 1.00e+00
1.08e+10 6.67e+06 3.20e+07 2.37e+06 1.93e-03
1.52e+10 2.30e+07 1.82e+07 9.29e+05 5.01e-04
1.40e+10 7.75e+06 3.19e+07 3.39e+06 3.24e-03
1.27e+10 6.95e+06 2.48e+07 3.17e+06 1.56e-03
1.35e+10 1.39e+07 2.75e+07 2.43e+06 1.96e-03
1.65e+10 5.45e+07 0.00e+00 0.00e+00 0.00e+00
1.23e+10 7.74e+06 2.95e+07 9.77e+05 5.44e-04
1.60e+10 8.14e+06 2.87e+07 2.70e+06 1.79e-03
1.58e+10 1.02e+07 2.63e+07 3.26e+06 3.68e-03
1.25e+10 3.21e+07 1.23e+07 9.33e+05 4.04e-04
1.48e+10 2.82e+07 1.49e+07 9.65e+05 3.97e-04
1.84e+10 7.94e+06 7.42e+07 4.70e+06 3.02e-03
1.52e+10 1.94e+07 2.19e+07 4.66e+05 1.00e+00
3.85e+09 5.02e+07 0.00e+00 0.00e+00 0.00e+00
1.27e+10 5.02e+07 0.00e+00 0.00e+00 0.00e+00
1.31e+10 1.47e+07 2.03e+07 1.47e+06 5.84e-04
2.20e+10 1.45e+07 2.20e+07 2.17e+06 9.49e-04
1.68e+10 1.07e+07 2.74e+07 3.30e+06 2.19e-03
1.77e+10 4.97e+07 0.00e+00 0.00e+00 0.00e+00
4.32e+09 4.78e+07 0.00e+00 0.00e+00 0.00e+00
1.70e+10 1.08e+07 2.61e+07 2.03e+06 1.25e-03
1.03e+10 1.09e+07 2.69e+07 2.07e+06 1.76e-03
1.15e+10 9.22e+06 3.13e+07 2.34e+06 2.03e-03
1.44e+10 1.46e+07 2.15e+07 3.27e+06 3.25e-03
1.72e+10 3.63e+07 4.67e+06 2.16e+06 1.07e-03
8.51e+09 1.42e+07 1.93e+07 1.78e+06 1.13e-03
2.76e+10 1.53e+07 5.26e+07 4.85e+06 8.84e-04
1.06e+10 6.75e+06 2.00e+07 1.58e+06 6.48e-04
1.63e+10 2.61e+07 1.02e+07 1.36e+06 6.14e-04
1.22e+10 3.30e+07 4.18e+06 3.95e+05 1.33e-05
1.82e+10 4.37e+07 0.00e+00 0.00e+00 0.00e+00
1.35e+10 5.86e+06 2.72e+07 2.06e+06 1.98e-03
1.04e+10 9.31e+06 1.99e+07 2.31e+06 1.01e-03
1.26e+10 2.16e+07 1.05e+07 7.24e+05 2.59e-04
1.18e+09 4.07e+07 0.00e+00 0.00e+00 0.00e+00
1.09e+10 1.53e+07 1.61e+07 1.65e+06 9.92e-04
